@RELATION demo 
@ATTRIBUTE f1 NUMERIC 
@ATTRIBUTE f2 NUMERIC 
@ATTRIBUTE f3 NUMERIC 
@ATTRIBUTE f4 NUMERIC 
@ATTRIBUTE f5 NUMERIC 
@ATTRIBUTE f6 NUMERIC 
@ATTRIBUTE class {-1,0,1} 
@DATA 
-20,-20,0,0,-20,0,1 
10,-20,-20,45,0,-20,-1 
0,10,-20,0,45,0,1 
40,0,10,20,0,45,-1 
0,40,0,0,20,0,-1 
30,0,40,0,0,20,-1 
20,30,0,0,0,0,1 
40,20,30,0,0,0,-1 
40,40,20,0,0,0,-1 
-10,40,40,-15,0,0,1 
50,-10,40,10,-15,0,1 
-10,50,-10,0,10,-15,1 
0,-10,50,5,0,10,-1 
-30,0,-10,0,5,0,-1 
0,-30,0,0,0,5,1 
100,0,-30,10,0,0,1 
20,100,0,0,10,0,-1 
40,20,100,0,0,10,-1 
90,40,20,0,0,0,-1 
-50,90,40,-10,0,0,1 
40,-50,90,15,-10,0,1 
30,40,-50,0,15,-10,1 
190,30,40,20,0,15,1 
30,190,30,10,20,0,1 
0,30,190,0,10,20,1 
60,0,30,10,0,10,1 
0,60,0,0,10,0,1 
-10,0,60,5,0,10,-1 
30,-10,0,-5,5,0,1 
60,30,-10,0,-5,5,1 
110,60,30,20,0,-5,1 
40,110,60,5,20,0,-1 
-30,40,110,-5,5,20,1 
-40,-30,40,5,-5,5,-1 
20,-40,-30,0,5,-5,1 
90,20,-40,15,0,5,-1 
-10,90,20,-15,15,0,1 
80,-10,90,0,-15,15,1 
10,80,-10,5,0,-15,-1 
0,10,80,0,5,0,1 
50,0,10,10,0,5,-1 
-50,50,0,-5,10,0,1 
10,-50,50,0,-5,10,1 
180,10,-50,20,0,-5,-1 
40,180,10,0,20,0,1 
10,40,180,0,0,20,-1 
-10,10,40,0,0,0,-1 
-40,-10,10,-10,0,0,-1 
-10,-40,-10,-5,-10,0,-1 
-30,-10,-40,0,-5,-10,1 
10,-30,-10,10,0,-5,1 
20,10,-30,0,10,0,-1 
0,20,10,-10,0,10,1 
110,0,20,10,-10,0,1 
150,110,0,10,10,-10,-1 
20,150,110,0,10,10,-1 
0,20,150,-5,0,10,-1 
-10,0,20,0,-5,0,-1 
-10,-10,0,-5,0,-5,1 
0,-10,-10,0,-5,0,1 
60,0,-10,5,0,-5,1 
30,60,0,0,5,0,-1 
-140,30,60,-10,0,5,1 
60,-140,30,5,-10,0,1 
20,60,-140,0,5,-10,-1 
20,20,60,-20,0,5,1 
-10,20,20,5,-20,0,-1 
-20,-10,20,-5,5,-20,-1 
50,-20,-10,-10,-5,5,-1 
-20,50,-20,-15,-10,-5,1 
-120,-20,50,5,-15,-10,-1 
-70,-120,-20,-10,5,-15,1 
-30,-70,-120,5,-10,5,1 
-50,-30,-70,0,5,-10,1 
-70,-50,-30,0,0,5,1 
20,-70,-50,15,0,0,-1 
-20,20,-70,-5,15,0,-1 
-50,-20,20,-15,-5,15,1 
-10,-50,-20,0,-15,-5,1 
30,-10,-50,0,0,-15,-1 
-10,30,-10,-15,0,0,-1 
10,-10,30,0,-15,0,1 
0,10,-10,0,0,-15,1 
10,0,10,5,0,0,-1 
-20,10,0,-5,5,0,-1 
30,-20,10,-5,-5,5,1 
30,30,-20,0,-5,-5,1 
-50,30,30,20,0,-5,-1 
0,-50,30,0,20,0,1 
0,0,-50,5,0,20,-1 
-160,0,0,-20,5,0,1 
-40,-160,0,0,-20,5,-1 
-100,-40,-160,-5,0,-20,1 
-20,-100,-40,0,-5,0,-1 
-90,-20,-100,-10,0,-5,-1 
-20,-90,-20,0,-10,0,1 
-60,-20,-90,0,0,-10,-1 
-110,-60,-20,-20,0,0,1 
0,-110,-60,15,-20,0,-1 
-130,0,-110,-25,15,-20,1 
-20,-130,0,5,-25,15,1 
-20,-20,-130,10,5,-25,-1 
-80,-20,-20,-15,10,5,-1 
-10,-80,-20,0,-15,10,-1 
-30,-10,-80,-5,0,-15,1 
-10,-30,-10,5,-5,0,1 
0,-10,-30,25,5,-5,-1 
-60,0,-10,-10,25,5,1 
-50,-60,0,5,-10,25,-1 
-70,-50,-60,-25,5,-10,-1 
-20,-70,-50,-25,-25,5,1 
-20,-20,-70,15,-25,-25,1 
0,-20,-20,5,15,-25,1 
10,0,-20,0,5,15,-1 
-70,10,0,-10,0,5,1 
10,-70,10,15,-10,0,-1 
-30,10,-70,-5,15,-10,1 
-20,-30,10,0,-5,15,-1 
-20,-20,-30,0,0,-5,1 
0,-20,-20,10,0,0,1 
60,0,-20,15,10,0,-1 
30,60,0,0,15,10,1 
80,30,60,5,0,15,-1 
-30,80,30,-5,5,0,-1 
-80,-30,80,-5,-5,5,-1 
-70,-80,-30,-5,-5,-5,-1 
-40,-70,-80,0,-5,-5,1 
0,-40,-70,5,0,-5,-1 
-20,0,-40,0,5,0,1 
70,-20,0,15,0,5,1 
-40,70,-20,5,15,0,1 
50,-40,70,5,5,15,1 
20,50,-40,0,5,5,-1 
-20,20,50,0,0,5,-1 
0,-20,20,0,0,0,-1 
-50,0,-20,-5,0,0,-1 
-40,-50,0,-5,-5,0,1 
-40,-40,-50,0,-5,-5,-1 
-130,-40,-40,-15,0,-5,-1 
-40,-130,-40,0,-15,0,-1 
-30,-40,-130,0,0,-15,1 
-10,-30,-40,5,0,0,-1 
-70,-10,-30,-10,5,0,1 
30,-70,-10,10,-10,5,1 
10,30,-70,0,10,-10,-1 
-90,10,30,-15,0,10,-1 
-40,-90,10,0,-15,0,-1 
-120,-40,-90,0,0,-15,-1 
-30,-120,-40,0,0,0,1 
60,-30,-120,20,0,0,1 
30,60,-30,0,20,0,1 
90,30,60,15,0,20,-1 
0,90,30,0,15,0,-1 
0,0,90,-5,0,15,1 
120,0,0,5,-5,0,1 
70,120,0,0,5,-5,1 
50,70,120,0,0,5,1 
190,50,70,15,0,0,1 
50,190,50,0,15,0,-1 
40,50,190,0,0,15,1 
80,40,50,5,0,0,-1 
40,80,40,0,5,0,1 
60,40,80,0,0,5,-1 
10,60,40,0,0,0,-1 
20,10,60,0,0,0,1 
120,20,10,10,0,0,-1 
0,120,20,0,10,0,1 
40,0,120,0,0,10,-1 
-10,40,0,0,0,0,-1 
0,-10,40,0,0,0,-1 
-20,0,-10,-10,0,0,1 
0,-20,0,0,-10,0,-1 
-20,0,-20,0,0,-10,1 
20,-20,0,0,0,0,1 
0,20,-20,5,0,0,1 
-10,0,20,0,5,0,-1 
-80,-10,0,-10,0,5,-1 
-30,-80,-10,-5,-10,0,1 
80,-30,-80,10,-5,-10,1 
30,80,-30,5,10,-5,1 
0,30,80,0,5,10,1 
20,0,30,10,0,5,1 
50,20,0,0,10,0,1 
150,50,20,20,0,10,1 
20,150,50,0,20,0,-1 
20,20,150,0,0,20,1 
70,20,20,5,0,0,-1 
20,70,20,-5,5,0,1 
80,20,70,0,-5,5,1 
30,80,20,0,0,-5,-1 
40,30,80,0,0,0,-1 
-30,40,30,-5,0,0,1 
20,-30,40,0,-5,0,1 
60,20,-30,0,0,-5,-1 
0,60,20,-5,0,0,1 
30,0,60,5,-5,0,-1 
20,30,0,0,5,-5,-1 
10,20,30,0,0,5,1 
0,10,20,0,0,0,-1 
10,0,10,-5,0,0,-1 
50,10,0,0,-5,0,-1 
-90,50,10,-15,0,-5,-1 
-60,-90,50,0,-15,0,-1 
-30,-60,-90,0,0,-15,1 
-20,-30,-60,5,0,0,-1 
-30,-20,-30,0,5,0,1 
0,-30,-20,0,0,5,-1 
-50,0,-30,-5,0,0,-1 
-40,-50,0,0,-5,0,-1 
-20,-40,-50,0,0,-5,-1 
-30,-20,-40,0,0,0,-1 
-30,-30,-20,-5,0,0,-1 
-10,-30,-30,-15,-5,0,-1 
30,-10,-30,-5,-15,-5,1 
-10,30,-10,10,-5,-15,-1 
10,-10,30,0,10,-5,1 
-50,10,-10,0,0,10,1 
10,-50,10,0,0,0,-1 
10,10,-50,0,0,0,1 
10,10,10,5,0,0,1 
40,10,10,5,5,0,-1 
-10,40,10,-5,5,5,1 
0,-10,40,5,-5,5,-1 
20,0,-10,0,5,-5,-1 
-90,20,0,-15,0,5,1 
-10,-90,20,0,-15,0,-1 
-10,-10,-90,0,0,-15,-1 
-20,-10,-10,0,0,0,-1 
0,-20,-10,0,0,0,1 
10,0,-20,0,0,0,-1 
-40,10,0,-5,0,0,1 
10,-40,10,0,-5,0,1 
120,10,-40,30,0,-5,1 
100,120,10,10,30,0,1 
50,100,120,0,10,30,1 
0,50,100,0,0,10,1 
100,0,50,5,0,0,1 
150,100,0,10,5,0,1 
80,150,100,0,10,5,1 
10,80,150,0,0,10,1 
60,10,80,5,0,0,-1 
70,60,10,0,5,0,1 
20,70,60,0,0,5,-1 
0,20,70,0,0,0,1 
80,0,20,0,0,0,1 
90,80,0,10,0,0,1 
40,90,80,5,10,0,-1 
0,40,90,-5,5,10,-1 
-90,0,40,-5,-5,5,1 
0,-90,0,0,-5,-5,1 
50,0,-90,0,0,-5,-1 
-20,50,0,-10,0,0,-1 
-60,-20,50,-5,-10,0,1 
0,-60,-20,0,-5,-10,-1 
0,0,-60,0,0,-5,1 
50,0,0,10,0,0,-1 
30,50,0,0,10,0,1 
0,30,50,0,0,10,1 
40,0,30,5,0,0,1 
60,40,0,10,5,0,1 
10,60,40,5,10,5,-1 
-60,10,60,0,5,10,-1 
-50,-60,10,-5,0,5,-1 
-60,-50,-60,0,-5,0,1 
0,-60,-50,0,0,-5,1 
80,0,-60,5,0,0,1 
30,80,0,0,5,0,1 
-10,30,80,0,0,5,-1 
-30,-10,30,-5,0,0,-1 
-40,-30,-10,-5,-5,0,-1 
30,-40,-30,-10,-5,-5,1 
30,30,-40,15,-10,-5,-1 
0,30,30,0,15,-10,1 
20,0,30,0,0,15,-1 
20,20,0,0,0,0,-1 
-80,20,20,-5,0,0,-1 
-20,-80,20,0,-5,0,1 
30,-20,-80,5,0,-5,1 
70,30,-20,10,5,0,1 
80,70,30,0,10,5,1 
50,80,70,0,0,10,1 
60,50,80,0,0,0,1 
80,60,50,5,0,0,-1 
40,80,60,0,5,0,1 
70,40,80,0,0,5,1 
30,70,40,0,0,0,1 
20,30,70,0,0,0,1 
50,20,30,5,0,0,-1 
-10,50,20,-5,5,0,-1 
-10,-10,50,0,-5,5,1 
0,-10,-10,0,0,-5,-1 
-30,0,-10,0,0,0,-1 
-30,-30,0,-5,0,0,1 
0,-30,-30,0,-5,0,1 
50,0,-30,5,0,-5,-1 
-60,50,0,-10,5,0,1 
30,-60,50,5,-10,5,1 
20,30,-60,0,5,-10,1 
10,20,30,0,0,5,1 
40,10,20,5,0,0,1 
0,40,10,0,5,0,-1 
0,0,40,-5,0,5,1 
0,0,0,0,-5,0,-1 
-40,0,0,-5,0,-5,-1 
-40,-40,0,0,-5,0,-1 
-80,-40,-40,-10,0,-5,1 
-60,-80,-40,0,-10,0,-1 
-130,-60,-80,-5,0,-10,1 
-40,-130,-60,0,-5,0,-1 
-20,-40,-130,0,0,-5,1 
10,-20,-40,5,0,0,1 
0,10,-20,0,5,0,1 
10,0,10,0,0,5,-1 
0,10,0,0,0,0,1 
30,0,10,5,0,0,-1 
20,30,0,0,5,0,1 
30,20,30,0,0,5,1 
30,30,20,0,0,0,-1 
-50,30,30,-20,0,0,-1 
-60,-50,30,0,-20,0,1 
-40,-60,-50,0,0,-20,1 
10,-40,-60,10,0,0,-1 
-10,10,-40,0,10,0,-1 
-40,-10,10,-5,0,10,1 
-10,-40,-10,0,-5,0,1 
-30,-10,-40,0,0,-5,-1 
0,-30,-10,0,0,0,1 
70,0,-30,15,0,0,1 
30,70,0,0,15,0,-1 
-20,30,70,0,0,15,1 
50,-20,30,10,0,0,-1 
50,50,-20,0,10,0,1 
50,50,50,0,0,10,1 
100,50,50,0,0,0,1 
100,100,50,5,0,0,1 
70,100,100,0,5,0,1 
40,70,100,0,0,5,1 
30,40,70,0,0,0,-1 
70,30,40,0,0,0,1 
150,70,30,10,0,0,1 
70,150,70,0,10,0,-1 
50,70,150,0,0,10,-1 
30,50,70,0,0,0,1 
70,30,50,0,0,0,1 
50,70,30,5,0,0,1 
80,50,70,5,5,0,-1 
20,80,50,0,5,5,1 
30,20,80,0,0,5,1 
10,30,20,0,0,0,1 
40,10,30,0,0,0,-1 
-80,40,10,-15,0,0,-1 
-40,-80,40,0,-15,0,1 
0,-40,-80,5,0,-15,-1 
-40,0,-40,0,5,0,1 
20,-40,0,5,0,5,-1 
-110,20,-40,-10,5,0,1 
-60,-110,20,0,-10,5,-1 
-60,-60,-110,-5,0,-10,-1 
-20,-60,-60,0,-5,0,-1 
-40,-20,-60,0,0,-5,-1 
-100,-40,-20,-10,0,0,-1 
-50,-100,-40,0,-10,0,1 
0,-50,-100,5,0,-10,-1 
-40,0,-50,-5,5,0,-1 
-170,-40,0,-20,-5,5,-1 
-40,-170,-40,0,-20,-5,1 
-50,-40,-170,5,0,-20,1 
-40,-50,-40,0,5,0,-1 
-40,-40,-50,0,0,5,-1 
-90,-40,-40,-10,0,0,-1 
-170,-90,-40,-10,-10,0,-1 
-170,-170,-90,0,-10,-10,-1 
-90,-170,-170,-10,0,-10,1 
-20,-90,-170,15,-10,0,1 
10,-20,-90,10,15,-10,1 
60,10,-20,20,10,15,-1 
-40,60,10,0,20,10,-1 
-60,-40,60,0,0,20,-1 
-40,-60,-40,-10,0,0,-1 
-40,-40,-60,0,-10,0,1 
50,-40,-40,10,0,-10,-1 
-60,50,-40,-10,10,0,1 
50,-60,50,10,-10,10,1 
60,50,-60,5,10,-10,1 
190,60,50,20,5,10,1 
110,190,60,5,20,5,1 
90,110,190,0,5,20,1 
60,90,110,0,0,5,-1 
70,60,90,0,0,0,-1 
60,70,60,-5,0,0,-1 
-20,60,70,-15,-5,0,1 
10,-20,60,5,-15,-5,1 
100,10,-20,10,5,-15,-1 
30,100,10,0,10,5,-1 
40,30,100,0,0,10,-1 
30,40,30,0,0,0,-1 
10,30,40,-5,0,0,1 
70,10,30,5,-5,0,-1 
10,70,10,-5,5,-5,-1 
-20,10,70,-5,-5,5,1 
20,-20,10,5,-5,-5,1 
0,20,-20,0,5,-5,-1 
-80,0,20,-10,0,5,-1 
-70,-80,0,-10,-10,0,-1 
-110,-70,-80,0,-10,-10,-1 
-80,-110,-70,-5,0,-10,1 
0,-80,-110,5,-5,0,1 
50,0,-80,10,5,-5,-1 
-40,50,0,0,10,5,-1 
-60,-40,50,-5,0,10,1 
0,-60,-40,0,-5,0,-1 
-40,0,-60,0,0,-5,-1 
-20,-40,0,-5,0,0,-1 
-100,-20,-40,0,-5,0,1 
0,-100,-20,5,0,-5,1 
0,0,-100,0,5,0,-1 
0,0,0,-5,0,5,1 
0,0,0,0,-5,0,1 
60,0,0,10,0,-5,1 
50,60,0,10,10,0,1 
40,50,60,0,10,10,1 
70,40,50,5,0,10,-1 
40,70,40,0,5,0,1 
90,40,70,10,0,5,-1 
70,90,40,0,10,0,1 
100,70,90,0,0,10,1 
120,100,70,0,0,0,1 
90,120,100,0,0,0,1 
70,90,120,0,0,0,-1 
30,70,90,-5,0,0,-1 
10,30,70,0,-5,0,1 
130,10,30,10,0,-5,-1 
40,130,10,0,10,0,-1 
30,40,130,0,0,10,1 
80,30,40,10,0,0,1 
50,80,30,0,10,0,-1 
30,50,80,0,0,10,-1 
0,30,50,-10,0,0,1 
70,0,30,5,-10,0,-1 
-40,70,0,-5,5,-10,1 
-10,-40,70,0,-5,5,1 
0,-10,-40,0,0,-5,1 
170,0,-10,15,0,0,1 
50,170,0,0,15,0,-1 
0,50,170,0,0,15,1 
30,0,50,5,0,0,-1 
30,30,0,0,5,0,1 
30,30,30,0,0,5,-1 
30,30,30,-5,0,0,1 
70,30,30,10,-5,0,-1 
10,70,30,0,10,-5,1 
30,10,70,5,0,10,1 
70,30,10,5,5,0,-1 
10,70,30,0,5,5,-1 
20,10,70,0,0,5,-1 
20,20,10,0,0,0,1 
20,20,20,0,0,0,-1 
-20,20,20,-5,0,0,1 
40,-20,20,5,-5,0,1 
0,40,-20,0,5,-5,1 
40,0,40,5,0,5,-1 
40,40,0,0,5,0,-1 
0,40,40,-5,0,5,-1 
40,0,40,0,-5,0,-1 
-30,40,0,-10,0,-5,1 
30,-30,40,0,-10,0,1 
-20,30,-30,0,0,-10,-1 
-10,-20,30,-5,0,0,-1 
-40,-10,-20,-5,-5,0,1 
10,-40,-10,0,-5,-5,-1 
-80,10,-40,-10,0,-5,1 
-50,-80,10,0,-10,0,1 
-20,-50,-80,5,0,-10,1 
10,-20,-50,0,5,0,1 
0,10,-20,5,0,5,-1 
-70,0,10,-5,5,0,-1 
-100,-70,0,-10,-5,5,1 
-40,-100,-70,0,-10,-5,1 
10,-40,-100,5,0,-10,1 
0,10,-40,5,5,0,1 
10,0,10,5,5,5,1 
80,10,0,5,5,5,1 
70,80,10,5,5,5,1 
30,70,80,0,5,5,-1 
10,30,70,0,0,5,1 
30,10,30,0,0,0,-1 
-10,30,10,-5,0,0,-1 
0,-10,30,0,-5,0,1 
80,0,-10,5,0,-5,-1 
50,80,0,0,5,0,-1 
50,50,80,0,0,5,-1 
0,50,50,-5,0,0,1 
-10,0,50,0,-5,0,-1 
-20,-10,0,-5,0,-5,1 
20,-20,-10,0,-5,0,-1 
-10,20,-20,0,0,-5,1 
20,-10,20,5,0,0,1 
10,20,-10,0,5,0,1 
10,10,20,5,0,5,-1 
0,10,10,0,5,0,1 
0,0,10,0,0,5,1 
0,0,0,0,0,0,1 
50,0,0,5,0,0,1 
70,50,0,10,5,0,-1 
50,70,50,0,10,5,1 
20,50,70,0,0,10,-1 
-20,20,50,-5,0,0,-1 
0,-20,20,-5,-5,0,1 
10,0,-20,0,-5,-5,1 
30,10,0,5,0,-5,-1 
0,30,10,0,5,0,1 
0,0,30,0,0,5,1 
30,0,0,0,0,0,-1 
0,30,0,0,0,0,1 
70,0,30,5,0,0,1 
40,70,0,0,5,0,-1 
100,40,70,0,0,5,1 
30,100,40,0,0,0,-1 
0,30,100,0,0,0,1 
20,0,30,0,0,0,-1 
0,20,0,0,0,0,1 
10,0,20,0,0,0,-1 
-170,10,0,-15,0,0,-1 
-440,-170,10,-20,-15,0,1 
-170,-440,-170,5,-20,-15,1 
-60,-170,-440,5,5,-20,1 
-60,-60,-170,0,5,5,1 
0,-60,-60,0,0,5,1 
20,0,-60,5,0,0,-1 
-10,20,0,-5,5,0,1 
90,-10,20,5,-5,5,1 
20,90,-10,0,5,-5,1 
50,20,90,0,0,5,1 
70,50,20,0,0,0,-1 
0,70,50,-5,0,0,1 
100,0,70,5,-5,0,-1 
10,100,0,0,5,-5,1 
30,10,100,0,0,5,1 
60,30,10,0,0,0,1 
60,60,30,0,0,0,-1 
0,60,60,0,0,0,-1 
-20,0,60,-5,0,0,1 
10,-20,0,5,-5,0,1 
100,10,-20,5,5,-5,1 
120,100,10,0,5,5,-1 
30,120,100,-5,0,5,1 
0,30,120,0,-5,0,-1 
0,0,30,0,0,-5,1 
50,0,0,5,0,0,-1 
-10,50,0,-5,5,0,1 
20,-10,50,0,-5,5,1 
